,Argentina,Bolivia,Brazil,Canada,Chile,Colombia,Costa Rica,Ecuador,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States,Uruguay,Venezuela
Argentina,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Bolivia,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Brazil,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chile,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Colombia,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ecuador,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
El Salvador,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
Guatemala,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Mexico,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nicaragua,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Paraguay,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Peru,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Venezuela,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0
