"Source","Target"
"Argentina","Canada"
"Argentina","Mexico"
"Argentina","United States"
"Bolivia","Argentina"
"Bolivia","Brazil"
"Bolivia","Chile"
"Bolivia","United States"
"Brazil","Argentina"
"Brazil","Canada"
"Brazil","Paraguay"
"Brazil","United States"
"Canada","United States"
"Chile","Argentina"
"Chile","United States"
"Colombia","Canada"
"Colombia","Chile"
"Colombia","Costa.Rica"
"Colombia","Ecuador"
"Colombia","Mexico"
"Colombia","Panama"
"Colombia","United States"
"Colombia","Venezuela"
"Costa Rica","United States"
"Ecuador","Canada"
"Ecuador","United States"
"Ecuador","Venezuela"
"El Salvador","Canada"
"El Salvador","Costa.Rica"
"El Salvador","United States"
"Guatemala","Canada"
"Guatemala","Mexico"
"Guatemala","United States"
"Honduras","United States"
"Mexico","Canada"
"Mexico","United States"
"Nicaragua","Costa.Rica"
"Nicaragua","Panama"
"Nicaragua","United States"
"Panama","United States"
"Paraguay","Argentina"
"Paraguay","United States"
"Peru","Argentina"
"Peru","Canada"
"Peru","Chile"
"Peru","United States"
"Peru","Venezuela"
"Uruguay","Argentina"
"Uruguay","Brazil"
"Uruguay","United States"
"Venezuela","Canada"
"Venezuela","United States"
