"Source","Target"
"Argentina","Canada"
"Argentina","United States"
"Bolivia","Argentina"
"Bolivia","United States"
"Bolivia","Uruguay"
"Brazil","Canada"
"Brazil","Paraguay"
"Brazil","United States"
"Canada","United States"
"Chile","Argentina"
"Chile","Brazil"
"Chile","United States"
"Chile","Venezuela"
"Colombia","Canada"
"Colombia","Ecuador"
"Colombia","Panama"
"Colombia","United States"
"Colombia","Venezuela"
"Costa Rica","United States"
"Ecuador","Canada"
"Ecuador","United States"
"Ecuador","Venezuela"
"El Salvador","Canada"
"El Salvador","United States"
"Guatemala","Canada"
"Guatemala","Mexico"
"Guatemala","United States"
"Honduras","United States"
"Mexico","Canada"
"Mexico","United States"
"Nicaragua","Costa.Rica"
"Nicaragua","United States"
"Panama","United States"
"Paraguay","Argentina"
"Paraguay","United States"
"Peru","Argentina"
"Peru","Canada"
"Peru","Chile"
"Peru","United States"
"Peru","Venezuela"
"Uruguay","Argentina"
"Uruguay","Brazil"
"Venezuela","United States"
