,Argentina,Bolivia,Brazil,Canada,Chile,Colombia,Costa Rica,Ecuador,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States,Uruguay,Venezuela
Argentina,,,,0.536399746,,,,,,,,0.118084813,,,,,0.647318078,,
Bolivia,8.275932438,,0.097625118,,6.376356281,,,,,,,,,,,0.47313081,0.22530031,,
Brazil,0.272320016,,,0.777629652,,,,,,,,,,,4.213787575,,1.495785603,,
Canada,,,,,,,,,,,,,,,,,1.573011571,,
Chile,2.995916853,,,,,,,,,,,,,,,,0.219632682,,
Colombia,,,,1.939469502,8.711903137,,4.708084649,10.50321029,,,,0.113330396,,11.0270149,,,2.407213349,,
Costa Rica,,,,,,,,,,,,,,,,,0.246807691,,
Ecuador,,,,0.359634638,1.569748089,,,,,,,,,,,,1.200195826,,
El Salvador,,,,1.355813112,,,3.137067794,,,0.671013535,,0.116843856,,,,,4.245195607,,
Guatemala,,,,0.478249867,,,,,,,,0.212870658,,,,,3.678369331,,
Honduras,,,,,,,,,,,,0.288227771,,,,,2.314455784,,
Mexico,,,,2.009880849,,,,,,,,,,,,,30.37394707,,
Nicaragua,,,,0.272725565,,,67.45162553,,,,,,,3.498219023,,,0.759006006,,
Panama,,,,,,,,,,,,,,,,,0.250442103,,
Paraguay,13.74891024,,,,,,,,,,,,,,,,0.13433125,,
Peru,3.754609188,,,0.688747167,11.49462196,,,,,,,,,,,,1.19206296,,
United States,,,,,,,,,,,,,,,,,,,
Uruguay,2.226271774,,0.074480642,,,,,,,,,,,,,,0.149639285,,
Venezuela,3.680187832,,1.144593957,0.560580623,26.2853174,17.03995756,5.393579549,20.17563597,,,,0.517843592,,27.51597016,,27.22230906,1.495604336,2.990733304,
