Countries,NetOut_90,NetIn_90,NetNet_90,NetOut_00,NetIn_00,NetNet_00,NetOut_10,NetIn_10,NetNet_10,NetOut_20,NetIn_20,NetNet_20
Argentina,3.165353417,20.17725051,17.01189709,4.390262518,23.95092182,19.5606593,6.911823519,37.99288067,31.08105715,7.939210951,48.51370287,40.57449192
Bolivia,24.51906255,1.549281425,-22.96978112,38.68623641,2.204421441,-36.48181497,62.90147407,1.894396052,-61.00707802,86.56472562,2.652689971,-83.91203565
Brazil,1.187328505,0.336703197,-0.850625308,1.87941493,0.340042269,-1.539372661,2.732661879,0.313604595,-2.419057284,3.843325821,1.92179701,-1.921528811
Canada,18.21022531,4.720281897,-13.48994341,21.07491039,6.777142197,-14.2977682,21.78874265,10.82339113,-10.96535152,18.73628841,13.23286736,-5.503421047
Chile,23.17629835,0.478969688,-22.69732866,20.00085435,3.300098175,-16.70075617,17.02783382,12.10976175,-4.918072071,15.57351039,79.34844345,63.77493307
Colombia,26.23545672,0.020499341,-26.21495738,35.15239241,0,-35.15239241,58.23014921,0.05129459,-58.17885462,40.92827426,26.60074572,-14.32752854
Costa Rica,11.41802129,52.10633854,40.68831724,21.1626491,79.2593247,58.0966756,25.61574389,103.4489637,77.83321982,26.67835667,133.9838829,107.3055262
Ecuador,15.79379228,3.179114259,-12.61467802,31.89110753,6.002574837,-25.88853269,44.39980553,20.82612478,-23.57368075,42.50381337,52.1856136,9.681800232
El Salvador,217.8043849,0.165563956,-217.6388209,165.5361772,1.026903958,-164.5092732,233.7788992,1.947876614,-231.8310225,278.59784,1.552671376,-277.0451686
Guatemala,32.91683902,25.87289453,-7.043944485,57.78028988,1.396821837,-56.38346804,93.71382527,2.1196101,-91.59421517,140.4151661,2.703004275,-137.7121618
Honduras,22.87467069,46.70466964,23.82999895,61.16610685,0.142957908,-61.02314894,104.5939885,0.092962797,-104.5010257,166.4666528,0.097380035,-166.3692727
Mexico,50.78292957,4.965018616,-45.81791096,111.9514676,0.6002857,-111.3511819,141.4942551,0.941801038,-140.5524541,124.9160412,2.304366991,-122.6116742
Nicaragua,98.0983328,2.201771122,-95.89656168,113.4955957,1.037102666,-112.4584931,135.5810538,1.494753947,-134.0862998,152.5266435,1.286949035,-151.2396944
Panama,46.3197538,9.20148087,-37.11827293,45.20800152,12.85030887,-32.35769265,41.16293361,31.96348891,-9.199444694,35.80860431,83.03079147,47.22218715
Paraguay,53.19504315,23.7980742,-29.39696895,65.45092449,14.03850124,-51.41242325,139.7651849,9.791845376,-129.9733395,167.8104077,8.168370371,-159.6420373
Peru,9.108021155,0.052010534,-9.056010621,20.66666966,0.024665258,-20.64200441,35.59837166,0.108018385,-35.49035327,37.54956161,41.967777,4.418215388
United States,0,26.14527892,26.14527892,0,53.36172561,53.36172561,0,69.69281433,69.69281433,0,70.01528645,70.01528645
Uruguay,57.39278514,3.318883597,-54.07390154,39.50449982,4.09013504,-35.41436478,54.3193289,0,-54.3193289,58.76204519,3.33299968,-55.42904551
Venezuela,1.662634802,31.24465364,29.58201884,5.327641281,30.40564026,25.07799898,10.12309563,49.5767238,39.45362817,191.1909013,0.138932636,-191.0519687
,713.8609335,256.2387385,-457.622195,860.3252017,240.8095738,-619.5156279,1229.739171,355.1903126,-874.5488585,1596.811369,573.0382722,-1023.773097
