Origin,Destination,Immigration_absolute,per1000_dest,per1000_org
Bolivia,Argentina,125311,3.825600884,17.65890527
Chile,Argentina,190832,5.82588175,14.20179359
Paraguay,Argentina,206796,6.313244332,50.9450891
Uruguay,Argentina,122347,3.735113369,39.25137279
Chile,Brazil,17911,0.120092617,1.332943767
Uruguay,Brazil,12782,0.085702855,4.100722102
Chile,Canada,21945,0.7896884,1.633155657
El Salvador,Canada,26637,0.958529502,4.933028083
Mexico,Canada,15510,0.558125636,0.190893142
Peru,Canada,10248,0.368773148,0.465505637
El Salvador,Costa Rica,54699,17.31938512,10.12995845
Nicaragua,Costa Rica,93194,29.50808564,22.38863699
Colombia,Ecuador,28368,2.70850567,0.874474123
El Salvador,Guatemala,228420,25.31033191,42.30214644
El Salvador,Honduras,99036,19.88480243,18.34093063
Nicaragua,Honduras,132697,26.64337845,31.87871496
El Salvador,Mexico,298649,3.67569606,55.30817675
Guatemala,Mexico,66941,0.823892831,7.417471885
Panama,Mexico,24248,0.298438227,9.874640768
Colombia,Panama,11895,4.844063508,0.366676173
Brazil,Paraguay,89961,22.16228148,0.603185302
Argentina,United States,82571,0.331997275,2.52079778
Bolivia,United States,28225,0.113485644,3.977484829
Brazil,United States,70683,0.284198609,0.473926998
Canada,United States,505832,2.033823563,18.20230863
Chile,United States,50031,0.201162099,3.723326985
Colombia,United States,272646,1.096241161,8.404606304
Costa Rica,United States,34944,0.140501057,11.06434475
Ecuador,United States,134719,0.541671299,12.86263309
El Salvador,United States,457400,1.839090642,84.70800185
Guatemala,United States,219917,0.884231082,24.36814754
Honduras,United States,106231,0.427128198,21.32944027
Mexico,United States,4099784,16.48420286,50.45910047
Nicaragua,United States,164938,0.663174316,39.62419262
Panama,United States,82419,0.331386121,33.56392352
Peru,United States,138053,0.555076477,6.270926007
Uruguay,United States,19241,0.077363234,6.172898917
Venezuela,United States,30480,0.122552433,1.543245897
Chile,Venezuela,19849,1.004983196,1.477170501
Colombia,Venezuela,522455,26.45264222,16.10523751
Ecuador,Venezuela,22051,1.116473598,2.105374314
Peru,Venezuela,27616,1.39823749,1.254430491
