Sender,Receiver,Weight
Argentina,Canada,0.536364439
Argentina,Mexico,0.113311307
Argentina,United States,0.575251912
Bolivia,Argentina,8.137951959
Bolivia,Brazil,0.086068157
Bolivia,Chile,1.226903598
Bolivia,United States,0.248408202
Brazil,Argentina,0.335617513
Brazil,Canada,0.624208664
Brazil,Paraguay,5.765789888
Brazil,United States,1.065609605
Canada,United States,1.957322155
Chile,Argentina,3.215636546
Chile,United States,0.276955184
Colombia,Canada,1.740567229
Colombia,Chile,0.701744624
Colombia,Costa Rica,4.35890474
Colombia,Ecuador,13.78465332
Colombia,Mexico,0.090237782
Colombia,Panama,13.24852539
Colombia,United States,2.073666219
Colombia,Venezuela,30.66715521
Costa Rica,United States,0.252772195
Ecuador,Canada,0.344621901
Ecuador,United States,1.338410914
Ecuador,Venezuela,0.962410667
El Salvador,Canada,1.269705808
El Salvador,Costa Rica,2.822895104
El Salvador,United States,3.83788005
Guatemala,Canada,0.436881731
Guatemala,Mexico,0.157063769
Guatemala,United States,2.618334619
Honduras,United States,1.574215256
Mexico,Canada,1.73948526
Mexico,United States,36.93752542
Nicaragua,Costa Rica,61.02861723
Nicaragua,Panama,3.128768373
Nicaragua,United States,0.810678041
Panama,United States,0.308864057
Paraguay,Argentina,13.21122546
Paraguay,United States,0.095946436
Peru,Argentina,3.921046528
Peru,Canada,0.720884099
Peru,Chile,6.815950026
Peru,United States,1.344400899
Peru,Venezuela,1.408830491
Uruguay,Argentina,2.199984765
Uruguay,Brazil,0.062199944
Uruguay,United States,0.165417978
Venezuela,Canada,0.436355368
Venezuela,United States,0.549724167
