,Argentina,Bolivia,Brazil,Canada,Chile,Colombia,Costa Rica,Ecuador,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States,Uruguay,Venezuela
Argentina,,,,,,,,,,,,,,,,,0.331997275,,
Bolivia,3.825600884,,,,,,,,,,,,,,,,0.113485644,3.265627466,
Brazil,,,,,,,,,,,,,,,22.16228148,,0.284198609,,
Canada,,,,,,,,,,,,,,,,,2.033823563,,
Chile,5.82588175,,0.120092617,0.7896884,,,,,,,,,,,,,0.201162099,,1.004983196
Colombia,,,,,,,,2.70850567,,,,,,4.844063508,,,1.096241161,,26.45264222
Costa Rica,,,,,,,,,,,,,,,,,0.140501057,,
Ecuador,,,,,,,,,,,,,,,,,0.541671299,,1.116473598
El Salvador,,,,0.958529502,,,17.31938512,,,25.31033191,19.88480243,3.67569606,,,,,1.839090642,,
Guatemala,,,,,,,,,,,,0.823892831,,,,,0.884231082,,
Honduras,,,,,,,,,,,,,,,,,0.427128198,,
Mexico,,,,0.558125636,,,,,,,,,,,,,16.48420286,,
Nicaragua,,,,,,,29.50808564,,,,26.64337845,,,,,,0.663174316,,
Panama,,,,,,,,,,,,0.298438227,,,,,0.331386121,,
Paraguay,6.313244332,,,,,,,,,,,,,,,,,,
Peru,,,,0.368773148,,,,,,,,,,,,,0.555076477,,1.39823749
United States,,,,,,,,,,,,,,,,,,,
Uruguay,3.735113369,,0.153785063,,,,,,,,,,,,,,0.077363234,,
Venezuela,,,,,,,,,,,,,,,,,0.122552433,,
