"Sender","Receiver"
"Arg","US"
"Bol","Arg"
"Bol","US"
"Bol","UG"
"Braz","PG"
"Braz","US"
"Can","US"
"Chile","Arg"
"Chile","Braz"
"Chile","Can"
"Chile","US"
"Chile","VZ"
"Col","Ecu"
"Col","Pan"
"Col","US"
"Col","VZ"
"CR","US"
"Ecu","US"
"Ecu","VZ"
"ElSal","Can"
"ElSal","CR"
"ElSal","Guat"
"ElSal","Hond"
"ElSal","Mex"
"ElSal","US"
"Guat","Mex"
"Guat","US"
"Hond","US"
"Mex","Can"
"Mex","US"
"NG","CR"
"NG","Hond"
"NG","US"
"Pan","Mex"
"Pan","US"
"PG","Arg"
"Peru","Can"
"Peru","US"
"Peru","VZ"
"UG","Arg"
"UG","Braz"
"UG","US"
"VZ","US"
