,Argentina,Bolivia,Brazil,Canada,Chile,Colombia,Costa Rica,Ecuador,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States,Uruguay,Venezuela
Argentina,0,0,0,0.536399746,0,0,0,0,0,0,0,0.118084813,0,0,0,0,0.647318078,0,0
Bolivia,8.275932438,0,0.097625118,0,6.376356281,0,0,0,0,0,0,0,0,0,0,0.47313081,0.22530031,0,0
Brazil,0.272320016,0,0,0.777629652,0,0,0,0,0,0,0,0,0,0,4.213787575,0,1.495785603,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.573011571,0,0
Chile,2.995916853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219632682,0,0
Colombia,0,0,0,1.939469502,8.711903137,0,4.708084649,10.50321029,0,0,0,0.113330396,0,11.0270149,0,0,2.407213349,0,0
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246807691,0,0
Ecuador,0,0,0,0.359634638,1.569748089,0,0,0,0,0,0,0,0,0,0,0,1.200195826,0,0
El Salvador,0,0,0,1.355813112,0,0,3.137067794,0,0,0.671013535,0,0.116843856,0,0,0,0,4.245195607,0,0
Guatemala,0,0,0,0.478249867,0,0,0,0,0,0,0,0.212870658,0,0,0,0,3.678369331,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0.288227771,0,0,0,0,2.314455784,0,0
Mexico,0,0,0,2.009880849,0,0,0,0,0,0,0,0,0,0,0,0,30.37394707,0,0
Nicaragua,0,0,0,0.272725565,0,0,67.45162553,0,0,0,0,0,0,3.498219023,0,0,0.759006006,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250442103,0,0
Paraguay,13.74891024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13433125,0,0
Peru,3.754609188,0,0,0.688747167,11.49462196,0,0,0,0,0,0,0,0,0,0,0,1.19206296,0,0
United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,2.226271774,0,0.074480642,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149639285,0,0
Venezuela,3.680187832,0,1.144593957,0.560580623,26.2853174,17.03995756,5.393579549,20.17563597,0,0,0,0.517843592,0,27.51597016,0,27.22230906,1.495604336,2.990733304,0
