,Argentina,Bolivia,Brazil,Canada,Chile,Colombia,Costa Rica,Ecuador,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States,Uruguay,Venezuela
Argentina,NA,47601,36910,20921,79253,5719,1761,5645,218,595,194,16688,281,3062,61833,26854,219448,33022,9374
Bolivia,423136,NA,49289,4731,128782,1129,442,1597,53,145,149,1753,66,543,1092,28165,80028,NA,1853
Brazil,49267,28612,NA,31568,18976,4685,652,2774,245,257,240,6964,126,2406,79897,16458,517519,14762,5680
Canada,535,1536,2014,NA,NA,1715,1689,2447,248,426,355,10394,262,2171,2471,5714,793897,372,1070
Chile,215198,5268,19596,28757,NA,4732,2086,11859,232,322,314,6714,130,2178,2283,17615,89714,1536,14390
Colombia,8723,3301,8700,75425,173487,NA,25530,203470,585,1242,886,20253,467,50702,NA,14182,817604,NA,917753
Costa Rica,124,162,490,4252,NA,1828,NA,1027,889,1248,879,3430,11281,9320,NA,638,96903,NA,1061
Ecuador,963,1115,2195,16115,42266,19180,1526,NA,124,178,470,3497,115,3201,NA,12795,425294,NA,34858
El Salvador,74,140,289,51776,NA,782,16682,544,NA,20683,9071,16807,2557,4147,NA,203,1410659,NA,956
Guatemala,96,158,369,18602,NA,857,3192,449,9036,NA,4711,46318,1843,1925,NA,308,1226849,NA,402
Honduras,66,257,160,8382,NA,690,4708,489,11878,9023,NA,38764,13110,1797,NA,311,773045,NA,275
Mexico,1463,10606,3400,86780,10558,5641,3720,2361,1742,18872,1602,NA,885,5801,1738,6148,10853105,635,3610
Nicaragua,91,123,465,10627,NA,NA,350854,408,7956,9211,7943,4303,NA,15517,NA,303,255008,NA,1927
Panama,161,121,660,2814,NA,3123,13711,1008,458,321,406,1767,423,NA,NA,644,99764,NA,828
Paraguay,685714,4772,49842,7859,6045,NA,99,252,11,62,35,579,237,145,NA,1034,46170,1225,200
Peru,197226,12565,19074,31890,240273,5680,4540,14331,237,491,392,5187,NA,5155,NA,NA,435868,106,44319
United States,5184,5453,22410,273226,17015,20810,15209,28026,5488,9299,6954,799248,3775,16867,1706,41292,NA,743,10598
Uruguay,134043,565,30537,7036,5652,662,374,1002,76,149,67,3469,38,914,3168,1384,50274,NA,4519
Venezuela,176369,5707,248105,22375,523553,1780486,28214,388861,245,303,103,70377,165,119553,NA,941889,505647,14908,NA
