Country,Population,Per 1000
Argentina,32755900,32755.9
Bolivia,7096193,7096.193
Brazil,149143223,149143.223
Canada,27789442,27789.442
Chile,13437176,13437.176
Colombia,32440068,32440.068
Costa Rica,3158253,3158.253
Ecuador,10473672,10473.672
El Salvador,5399726,5399.726
Guatemala,9024773,9024.773
Honduras,4980487,4980.487
Mexico,81249645,81249.645
Nicaragua,4162558,4162.558
Panama,2455583,2455.583
Paraguay,4059194,4059.194
Peru,22014771,22014.771
United States,248709873,248709.873
Uruguay,3117012,3117.012
Venezuela,19750579,19750.579
