Country,Population,Per 1000
Argentina,37213983,37213.983
Bolivia,8606325,8606.325
Brazil,174018281,174018.281
Canada,30891802,30891.802
Chile,15503634,15503.634
Colombia,39089934,39089.934
Costa Rica,3937738,3937.738
Ecuador,12689205,12689.205
El Salvador,5943365,5943.365
Guatemala,11697592,11697.592
Honduras,6485000,6485
Mexico,97483412,97483.412
Nicaragua,5074000,5074
Panama,2839177,2839.177
Paraguay,5496000,5496
Peru,25662000,25662
United States,281421906,281421.906
Uruguay,3337000,3337
Venezuela,23232553,23232.553
