Country,Population,Population (in thousands)
Argentina,45376760,45376.76
Bolivia,11816299,11816.299
Brazil,211800000,211800
Canada,38005238,38005.238
Chile,19370624,19370.624
Colombia,50629997,50629.997
Costa Rica,5034319,5034.319
Ecuador,17546064,17546.064
El Salvador,6234673,6234.673
Guatemala,17357325,17357.325
Honduras,9904607,9904.607
Mexico,128932753,128932.753
Nicaragua,6624554,6624.554
Panama,4314767,4314.767
Paraguay,7132538,7132.538
Peru,32971854,32971.854
United States,331002651,331002.651
Uruguay,3473730,3473.73
Venezuela,28435940,28435.94
