Country,Population,Population per 1000
Argentina,40117096,40117.096
Bolivia,10182345,10182.345
Brazil,190755799,190755.799
Canada,34196898,34196.898
Chile,17181464,17181.464
Colombia,44777318,44777.318
Costa Rica,4555961,4555.961
Ecuador,15076694,15076.694
El Salvador,6068249,6068.249
Guatemala,14500112,14500.112
Honduras,8045990,8045.99
Mexico,112336538,112336.538
Nicaragua,5822000,5822
Panama,3405813,3405.813
Paraguay,6349000,6349
Peru,29076512,29076.512
United States,309349689,309349.689
Uruguay,3356584,3356.584
Venezuela,28833845,28833.845
